,INCOME,SEX,MARITAL.STATUS,AGE,EDUCATION,OCCUPATION,AREA,DUAL.INCOMES,HOUSEHOLD.SIZE,UNDER18,HOUSEHOLDER,HOME.TYPE,ETHNIC.CLASS,LANGUAGE
0,[75.000-,F,Married,45-54,1 to 3 years of college,Homemaker,10+ years,No,Three,,Own,House,White,
1,[75.000-,M,Married,45-54,College graduate,Homemaker,10+ years,No,Five,Two,Own,House,White,English
2,[75.000-,F,Married,25-34,College graduate,Professional/Managerial,10+ years,Yes,Three,One,Rent,Apartment,White,English
3,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,Two,Family,House,White,English
4,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",4-6 years,Not Married,Four,Two,Family,House,White,English
5,[50.000-75.000),M,Married,55-64,1 to 3 years of college,Retired,10+ years,No,Two,,Own,House,White,English
6,-10.000),M,Single,18-24,Graduated High Scool,Unemployed,7-10 years,Not Married,Three,One,Rent,Apartment,White,English
7,[30.000-40.000),M,Divorced,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Rent,Apartment,White,English
8,[10.000-15.000),M,Married,55-64,Graduated High Scool,Retired,10+ years,No,Three,,Rent,Apartment,White,English
9,[20.000-25.000),M,Married,65+,1 to 3 years of college,Retired,7-10 years,No,Two,,Rent,Apartment,White,English
10,-10.000),M,Single,18-24,1 to 3 years of college,Unemployed,10+ years,Not Married,One,,Rent,Apartment,White,English
11,[20.000-25.000),F,Together,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Two,,Own,House,Hispanic,English
12,[50.000-75.000),F,Married,25-34,Grad Study,"Student, HS or College",1-3 years,Yes,Four,Two,Own,House,White,English
13,[40.000-50.000),F,Married,45-54,Graduated High Scool,Homemaker,10+ years,No,Four,,Rent,House,White,English
14,[20.000-25.000),M,Widowed,55-64,Graduated High Scool,,10+ years,Not Married,One,,Own,House,White,
15,[40.000-50.000),F,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,Two,Own,House,White,English
16,-10.000),F,Divorced,25-34,Graduated High Scool,Sales Worker,1-3 years,Not Married,Two,One,Rent,Apartment,White,English
17,[75.000-,F,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,
18,[50.000-75.000),F,Married,45-54,Graduated High Scool,Homemaker,-1 year,No,Two,,Rent,Apartment,White,English
19,[75.000-,M,Single,14-17,Grades 9 to 11,Unemployed,,Not Married,Four,Two,Family,House,White,English
20,[10.000-15.000),M,Divorced,35-44,Grades 9 to 11,Factory Worker/Laborer/Driver,7-10 years,Not Married,Two,,Rent,Apartment,White,English
21,[75.000-,F,Married,35-44,1 to 3 years of college,Sales Worker,10+ years,No,Five,Three,Own,House,Hispanic,Spanish
22,[50.000-75.000),M,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,No,Five,Three,Own,House,White,English
23,[20.000-25.000),F,Divorced,45-54,1 to 3 years of college,Sales Worker,4-6 years,Not Married,Three,,Rent,Other,White,English
24,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,White,English
25,[75.000-,M,Married,25-34,College graduate,Professional/Managerial,10+ years,Yes,Three,One,Rent,Apartment,White,English
26,[40.000-50.000),M,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Three,,Own,House,White,English
27,[75.000-,M,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Three,One,Own,House,White,English
28,[30.000-40.000),M,Married,35-44,Grad Study,Professional/Managerial,,Yes,Three,One,Own,House,White,English
29,[20.000-25.000),F,Divorced,65+,Graduated High Scool,Retired,10+ years,Not Married,One,,Own,Other,White,English
30,[30.000-40.000),F,Divorced,35-44,College graduate,Professional/Managerial,7-10 years,Not Married,Five,Three,Own,House,White,English
31,[50.000-75.000),F,Married,35-44,1 to 3 years of college,Professional/Managerial,7-10 years,Yes,Four,Two,Rent,House,White,English
32,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,Two,Family,House,White,English
33,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,One,Family,House,White,English
34,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Six,Four,Family,House,White,English
35,[50.000-75.000),F,Married,35-44,1 to 3 years of college,Homemaker,,No,Six,Four,Own,House,White,English
36,[10.000-15.000),F,Married,65+,Graduated High Scool,Homemaker,10+ years,No,Two,,Own,House,White,English
37,[50.000-75.000),F,Married,35-44,Graduated High Scool,Homemaker,-1 year,No,Three,One,Own,House,White,English
38,[75.000-,M,Married,45-54,Grad Study,Professional/Managerial,10+ years,Yes,Four,,Own,House,White,English
39,[25.000-30.000),F,Divorced,35-44,College graduate,Professional/Managerial,4-6 years,Not Married,Two,One,Rent,Apartment,Asian,Other
40,[10.000-15.000),F,Widowed,55-64,Grad Study,Professional/Managerial,-1 year,Not Married,One,,Rent,Apartment,White,English
41,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Two,Family,House,White,English
42,[50.000-75.000),F,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Five,Three,Own,House,White,English
43,[50.000-75.000),F,Married,45-54,1 to 3 years of college,Homemaker,10+ years,No,Three,,Own,House,White,English
44,[10.000-15.000),F,Single,18-24,Grades 9 to 11,"Student, HS or College",1-3 years,Not Married,Three,,Family,House,Black,English
45,[30.000-40.000),F,Married,55-64,1 to 3 years of college,Sales Worker,10+ years,Yes,Four,Two,Rent,House,White,English
46,[50.000-75.000),F,Married,45-54,1 to 3 years of college,Homemaker,10+ years,No,Three,,Own,House,White,English
47,[30.000-40.000),F,Married,55-64,Graduated High Scool,Homemaker,,No,Two,,Own,House,White,English
48,[50.000-75.000),F,Married,35-44,Graduated High Scool,Homemaker,4-6 years,No,Six,Four,Own,House,White,
49,[30.000-40.000),F,Married,25-34,Graduated High Scool,Homemaker,10+ years,No,Five,Three,Own,House,Hispanic,English
50,[20.000-25.000),F,Single,14-17,Grades 9 to 11,Sales Worker,10+ years,Not Married,Three,One,Family,Condominium,White,English
51,[40.000-50.000),M,Divorced,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,One,,Rent,Condominium,White,English
52,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",,Not Married,Five,Three,Family,House,White,English
